power_on_hours,temperature,reallocated_sectors_count,reported_uncorrectable_errors,spin_retry_count,seek_error_rate,udma_crc_error_count,prediction,serial_number,timestamp
3838.4,25.94,2.04,0.0,0.96,4.09,1.04,0.0,SN498201,2025-07-12 02:16:11
7355.76,29.13,2.07,2.02,1.0,7.17,0.0,0.0,SN798755,2025-06-02 02:16:11
1767.51,32.96,2.06,1.93,1.02,7.69,0.0,0.0,SN212872,2025-06-27 02:16:11
44683.27,61.85,28.01,36.11,16.4,80100.45,44.06,1.03,SN496150,2025-07-20 02:16:11
62113.28,54.45,22.95,29.88,16.99,60663.88,50.76,0.96,SN670452,2025-06-07 02:16:11
53237.94,49.71,177.63,42.73,9.38,14490.32,71.84,1.05,SN821370,2025-06-26 02:16:11
6240.31,28.14,4.01,1.04,0.0,8.7,0.98,0.0,SN385576,2025-07-03 02:16:11
17953.69,33.11,0.0,0.0,0.97,5.08,0.0,0.0,SN312593,2025-07-15 02:16:11
26108.49,50.97,76.34,34.89,3.15,41289.03,62.19,0.95,SN929573,2025-07-16 02:16:11
17934.48,37.28,0.99,0.0,0.0,6.94,1.05,0.0,SN247017,2025-06-07 02:16:11
18405.25,37.49,0.0,0.0,0.98,0.0,0.0,0.0,SN600560,2025-06-13 02:16:11
34752.26,67.1,178.92,46.92,8.59,40856.82,36.52,0.95,SN597491,2025-07-17 02:16:11
9546.98,36.73,3.96,0.0,1.0,0.0,1.04,0.0,SN458298,2025-07-13 02:16:11
2686.91,35.1,0.0,1.04,1.05,5.0,0.96,0.0,SN776920,2025-06-09 02:16:11
39439.81,57.0,194.46,41.28,12.93,9181.33,82.11,1.03,SN121432,2025-07-22 02:16:11
34210.15,62.76,16.77,7.03,8.14,31891.72,66.47,1.01,SN519296,2025-06-03 02:16:11
49935.41,66.54,130.0,35.52,3.02,64649.24,17.39,0.99,SN885232,2025-07-15 02:16:11
10700.52,38.53,1.91,0.96,0.0,7.84,0.0,0.0,SN232555,2025-06-12 02:16:11
45891.99,63.22,78.43,24.59,6.19,85244.24,14.62,1.03,SN441226,2025-07-19 02:16:11
40065.91,46.42,180.11,13.04,10.44,16941.96,68.0,1.0,SN940557,2025-06-16 02:16:11
54731.79,52.18,119.57,35.38,4.13,39376.84,13.11,0.96,SN117843,2025-07-15 02:16:11
9766.0,28.05,1.03,1.99,0.0,1.03,1.01,0.0,SN386907,2025-06-01 02:16:11
45189.04,52.12,198.08,31.64,2.03,68658.86,87.72,0.96,SN743360,2025-07-17 02:16:11
55879.03,51.8,64.4,27.49,18.62,9048.24,63.93,0.95,SN261941,2025-06-22 02:16:11
16715.58,32.7,3.93,0.0,0.0,7.21,0.0,0.0,SN975929,2025-07-02 02:16:11
5218.37,30.09,0.97,0.0,0.0,8.99,0.0,0.0,SN685154,2025-06-30 02:16:11
60449.47,40.44,135.34,35.67,16.18,87588.26,55.13,1.02,SN435586,2025-06-28 02:16:11
54496.68,66.17,58.13,44.71,16.73,60803.95,21.49,0.97,SN328749,2025-06-26 02:16:11
2209.55,35.31,4.14,0.98,0.0,2.99,1.02,0.0,SN375646,2025-07-15 02:16:11
12495.49,29.85,1.01,0.0,1.03,1.05,0.0,0.0,SN497476,2025-06-16 02:16:11
38197.0,61.73,125.08,40.26,6.83,58721.26,49.94,0.96,SN367150,2025-06-29 02:16:11
7950.26,39.71,0.0,1.92,0.0,7.31,1.01,0.0,SN313480,2025-07-18 02:16:11
3604.59,35.67,4.14,0.0,0.0,0.99,0.96,0.0,SN695429,2025-06-21 02:16:11
1970.09,31.24,3.87,2.05,0.96,3.15,0.96,0.0,SN918132,2025-07-11 02:16:11
8764.83,30.02,3.15,1.97,1.02,5.22,1.05,0.0,SN721762,2025-06-25 02:16:11
22832.07,50.78,199.39,24.63,11.56,51657.7,30.03,0.96,SN896223,2025-06-08 02:16:11
3567.68,33.44,2.99,0.0,1.04,0.99,0.0,0.0,SN640290,2025-07-07 02:16:11
25318.61,63.86,131.92,43.22,5.13,75515.59,37.52,1.03,SN429708,2025-07-11 02:16:11
45437.54,47.68,115.75,22.44,17.26,14404.68,93.71,1.02,SN420842,2025-06-28 02:16:11
8126.56,34.9,0.96,0.0,1.03,0.0,0.0,0.0,SN228008,2025-06-05 02:16:11
30483.98,66.69,35.76,38.77,4.79,67829.75,91.34,0.96,SN996475,2025-06-24 02:16:11
58014.99,43.63,136.07,8.81,17.85,77939.65,89.19,1.02,SN238763,2025-07-11 02:16:11
49382.92,57.95,125.82,34.24,9.01,41163.44,49.61,0.97,SN606022,2025-06-28 02:16:11
37912.33,42.25,119.99,33.64,18.74,50960.91,29.5,0.97,SN519429,2025-07-02 02:16:11
1908.46,33.79,3.82,1.92,1.02,7.05,0.98,0.0,SN579802,2025-06-27 02:16:11
33479.25,65.35,73.5,24.77,7.21,61987.87,19.4,1.04,SN605771,2025-07-22 02:16:11
16142.12,37.87,3.01,2.1,0.0,5.03,0.0,0.0,SN214112,2025-07-27 02:16:11
7894.31,29.29,3.13,1.0,0.98,4.07,0.97,0.0,SN851210,2025-07-20 02:16:11
6987.76,28.12,4.1,2.01,0.96,8.8,0.0,0.0,SN466366,2025-07-19 02:16:11
3469.38,35.98,4.01,0.0,0.0,2.89,0.0,0.0,SN388654,2025-06-17 02:16:11
16971.5,30.48,3.99,1.98,0.0,1.93,0.0,0.0,SN507743,2025-07-11 02:16:11
1796.28,36.06,3.12,0.0,0.97,1.04,1.02,0.0,SN118955,2025-07-01 02:16:11
5711.82,26.33,2.89,0.0,0.97,0.0,0.0,0.0,SN583456,2025-07-14 02:16:11
12861.02,34.21,0.0,0.98,0.0,7.84,0.0,0.0,SN540758,2025-07-06 02:16:11
4688.46,29.61,1.98,1.9,0.99,4.11,1.01,0.0,SN747889,2025-06-23 02:16:11
55177.47,64.0,121.34,25.66,17.34,19343.52,85.5,1.03,SN856562,2025-06-05 02:16:11
47198.42,54.07,125.19,44.31,8.7,62805.65,45.58,1.03,SN270554,2025-07-03 02:16:11
9952.91,24.43,3.9,2.08,0.0,8.7,0.99,0.0,SN969409,2025-07-14 02:16:11
46969.64,40.22,75.31,16.76,16.68,88014.36,43.86,1.0,SN462886,2025-06-20 02:16:11
10523.46,32.12,0.96,1.99,0.0,6.79,1.02,0.0,SN520372,2025-06-23 02:16:11
3335.6,40.92,0.0,0.96,0.99,6.2,0.0,0.0,SN128605,2025-07-22 02:16:11
2665.08,37.24,1.93,0.0,0.0,5.75,0.0,0.0,SN499417,2025-06-20 02:16:11
34712.42,65.23,68.11,26.41,6.78,65908.15,18.75,1.0,SN466648,2025-06-22 02:16:11
40782.24,46.63,169.24,13.33,9.84,16511.18,64.81,1.04,SN178389,2025-06-01 02:16:11
30367.21,60.5,88.42,12.49,3.13,10013.07,35.53,1.03,SN940256,2025-06-03 02:16:11
43923.42,48.35,186.52,10.14,3.11,6838.59,9.92,0.99,SN344055,2025-07-15 02:16:11
20466.51,24.77,4.14,0.0,0.0,0.0,1.02,0.0,SN805755,2025-07-13 02:16:11
46047.0,46.38,118.32,22.85,18.0,14471.51,90.57,1.04,SN698047,2025-07-13 02:16:11
52222.95,41.3,123.2,24.09,5.14,22068.21,41.8,1.04,SN574238,2025-07-24 02:16:11
51632.75,60.86,58.31,14.71,8.86,85917.79,53.97,1.0,SN303709,2025-07-26 02:16:11
4310.43,33.29,3.96,0.95,1.01,5.19,0.0,0.0,SN664240,2025-06-03 02:16:11
36697.02,52.47,120.7,34.96,3.11,76720.7,85.25,1.03,SN435733,2025-07-21 02:16:11
28254.28,65.62,84.68,17.47,16.41,99120.4,7.95,0.98,SN254977,2025-07-21 02:16:11
40478.41,62.8,124.61,37.62,12.44,51456.52,25.7,1.01,SN645618,2025-07-22 02:16:11
19395.1,27.61,2.97,2.01,0.0,3.92,0.0,0.0,SN290750,2025-07-27 02:16:11
48572.61,63.61,16.11,45.89,17.65,90987.88,61.84,0.99,SN211567,2025-07-09 02:16:11
32777.42,47.17,54.46,7.94,18.13,25399.45,29.18,0.95,SN472522,2025-06-07 02:16:11
32196.9,50.41,129.33,11.27,18.38,82430.59,29.11,1.04,SN113938,2025-07-13 02:16:11
9394.94,32.83,0.98,1.01,0.98,1.98,0.0,0.0,SN197504,2025-06-13 02:16:11
32573.18,64.85,89.78,13.59,2.95,10086.18,35.15,1.03,SN697420,2025-06-19 02:16:11
20130.13,53.89,39.47,49.03,7.24,91596.72,16.55,0.97,SN580488,2025-06-27 02:16:11
28965.76,68.07,139.68,28.23,19.39,16064.21,82.7,1.01,SN513119,2025-06-29 02:16:11
38281.56,44.99,108.42,47.08,16.68,44971.01,30.75,1.02,SN730650,2025-06-02 02:16:11
2323.38,24.69,1.01,1.04,1.0,1.9,0.0,0.0,SN962121,2025-07-04 02:16:11
43659.7,51.41,40.67,48.27,11.34,16583.24,45.65,1.03,SN649866,2025-07-05 02:16:11
36620.08,60.37,16.04,7.3,7.92,32317.22,61.35,0.98,SN797783,2025-06-02 02:16:11
17680.36,37.98,0.0,2.07,1.02,0.0,0.95,0.0,SN350496,2025-07-19 02:16:11
14834.12,33.95,0.0,0.0,0.0,0.0,0.97,0.0,SN174073,2025-06-26 02:16:11
39944.61,67.87,75.88,37.38,5.07,72210.06,67.75,1.04,SN884781,2025-07-16 02:16:11
44440.87,48.43,199.36,10.4,19.6,58441.11,45.34,0.96,SN148167,2025-07-30 02:16:11
60928.59,41.77,177.46,35.9,18.54,70059.9,62.61,1.05,SN423742,2025-07-27 02:16:11
36614.23,41.6,62.66,21.98,13.13,5711.68,83.15,0.99,SN154983,2025-06-30 02:16:11
13917.98,40.02,0.0,2.0,1.0,0.0,1.03,0.0,SN937537,2025-06-12 02:16:11
9705.45,24.95,1.99,1.03,1.05,3.14,0.0,0.0,SN986327,2025-06-11 02:16:11
57319.49,66.44,15.02,22.97,12.16,96647.64,23.79,0.96,SN663965,2025-06-10 02:16:11
3669.35,33.82,3.06,0.0,1.02,1.04,0.0,0.0,SN535183,2025-06-18 02:16:11
40640.7,55.61,84.04,13.54,2.96,39834.49,92.64,0.97,SN976299,2025-07-06 02:16:11
40829.82,49.46,24.34,7.99,7.18,81319.94,95.38,0.97,SN980340,2025-07-22 02:16:11
25941.08,66.4,85.94,28.81,18.36,75713.07,46.85,1.05,SN985570,2025-06-29 02:16:11
16213.08,26.04,0.99,0.0,1.04,7.63,0.96,0.0,SN612613,2025-07-20 02:16:11
17816.17,30.77,2.08,1.04,1.03,8.75,0.0,0.0,SN816194,2025-07-07 02:16:11
12339.98,26.98,1.95,2.02,0.98,7.61,0.0,0.0,SN689157,2025-06-02 02:16:11
46575.61,60.56,192.0,41.04,17.32,70195.68,23.93,0.98,SN362855,2025-06-17 02:16:11
5969.64,26.38,3.81,1.0,0.0,9.08,1.05,0.0,SN438325,2025-06-19 02:16:11
61314.38,56.49,23.21,30.43,17.82,59568.17,48.71,1.05,SN691187,2025-06-02 02:16:11
22336.49,63.61,76.8,31.45,8.01,73353.32,68.85,1.04,SN256858,2025-06-09 02:16:11
26042.99,41.3,124.23,12.31,15.06,41759.33,50.19,0.99,SN867661,2025-06-29 02:16:11
24649.1,41.6,117.95,44.69,10.76,81416.14,61.65,1.02,SN803129,2025-07-26 02:16:11
50588.02,45.95,81.37,20.24,3.83,85650.21,89.08,0.99,SN999085,2025-06-06 02:16:11
6766.84,30.58,1.94,0.0,0.0,8.27,0.0,0.0,SN316604,2025-06-26 02:16:11
46129.88,44.41,166.31,14.97,12.65,104034.22,20.61,0.97,SN978787,2025-06-20 02:16:11
17955.88,34.48,1.02,2.06,0.97,4.18,0.0,0.0,SN798169,2025-07-08 02:16:11
58219.27,52.18,18.7,28.27,3.03,45271.94,40.12,1.04,SN426211,2025-07-29 02:16:11
18830.61,37.5,3.9,1.92,0.0,3.88,0.0,0.0,SN937221,2025-06-26 02:16:11
9152.59,36.01,0.0,0.0,1.02,4.19,0.0,0.0,SN735203,2025-07-01 02:16:11
9213.39,34.52,1.04,0.0,0.97,2.88,0.97,0.0,SN137494,2025-07-14 02:16:11
18111.02,31.51,0.0,0.96,0.0,8.02,0.96,0.0,SN662438,2025-06-16 02:16:11
6529.94,27.61,4.15,1.93,0.97,8.84,0.0,0.0,SN171981,2025-07-04 02:16:11
56078.61,66.0,26.12,25.6,17.5,19482.41,76.09,1.0,SN683211,2025-06-01 02:16:11
8504.51,29.15,4.04,0.96,1.05,4.79,1.04,0.0,SN296892,2025-06-12 02:16:11
51996.83,72.3,151.48,20.88,4.9,75767.58,35.45,1.05,SN614693,2025-06-23 02:16:11
13089.46,27.94,3.99,1.91,0.0,6.24,1.01,0.0,SN752540,2025-06-05 02:16:11
43385.24,63.07,66.12,25.82,15.59,20099.35,95.08,0.95,SN162720,2025-07-23 02:16:11
1820.81,36.65,3.92,0.0,0.96,4.19,0.0,0.0,SN421725,2025-06-10 02:16:11
34580.61,61.29,170.1,26.84,12.61,24553.45,18.08,1.02,SN112723,2025-07-23 02:16:11
6804.56,35.95,0.99,1.02,1.01,1.03,0.0,0.0,SN941161,2025-06-09 02:16:11
52795.67,54.23,200.09,32.9,10.36,82164.2,86.52,0.98,SN198628,2025-06-30 02:16:11
31387.89,52.87,65.37,46.47,10.43,78324.51,49.08,1.03,SN166828,2025-07-24 02:16:11
14622.73,32.78,4.0,0.0,0.95,5.02,0.0,0.0,SN897271,2025-07-21 02:16:11
43145.7,47.69,184.01,50.34,4.08,79244.63,10.64,1.0,SN344824,2025-06-25 02:16:11
1412.81,34.38,1.05,2.09,0.0,5.8,1.04,0.0,SN868582,2025-06-16 02:16:11
57106.42,41.82,95.31,15.44,17.81,28454.55,33.91,1.0,SN698296,2025-07-16 02:16:11
44428.95,63.74,191.81,8.02,19.84,14747.72,86.89,1.02,SN484227,2025-07-07 02:16:11
56534.7,57.75,103.93,8.75,12.73,51255.57,12.29,0.98,SN108497,2025-06-05 02:16:11
23070.47,47.87,149.32,37.29,14.58,84944.31,93.12,0.98,SN462027,2025-07-31 02:16:11
10141.99,39.74,2.87,0.95,0.0,4.08,0.0,0.0,SN714025,2025-06-11 02:16:11
29763.19,67.93,180.12,7.72,5.22,56670.92,22.82,0.98,SN889586,2025-07-15 02:16:11
12699.44,40.03,3.95,1.91,1.02,1.95,1.03,0.0,SN373845,2025-06-26 02:16:11
53707.34,46.53,67.97,40.4,3.14,43434.99,81.52,0.96,SN709266,2025-06-23 02:16:11
29813.43,62.68,91.85,21.71,11.41,46214.54,73.85,0.96,SN302872,2025-06-05 02:16:11
3415.0,29.23,0.98,1.02,0.0,3.0,0.0,0.0,SN903060,2025-06-12 02:16:11
45870.56,57.23,68.24,19.15,7.28,613.93,29.66,1.0,SN133962,2025-06-25 02:16:11
16010.87,35.41,0.0,2.04,1.05,7.16,0.98,0.0,SN709187,2025-07-27 02:16:11
26396.38,65.44,66.74,44.9,2.03,47810.06,57.23,0.99,SN440571,2025-07-04 02:16:11
27919.01,65.64,26.71,25.03,7.61,92943.13,101.23,0.96,SN123079,2025-07-02 02:16:11
6119.97,26.33,3.03,0.0,0.0,3.06,0.0,0.0,SN244909,2025-07-23 02:16:11
43003.56,45.12,56.18,47.77,8.98,80587.87,9.94,0.95,SN655860,2025-07-27 02:16:11
31834.86,50.12,13.62,33.37,15.89,30835.66,5.12,1.01,SN742338,2025-06-20 02:16:11
7914.22,37.81,0.0,0.0,1.01,8.17,0.0,0.0,SN658400,2025-07-30 02:16:11
14100.92,39.79,0.0,2.03,0.99,0.0,0.98,0.0,SN987352,2025-07-11 02:16:11
15531.06,32.93,3.8,0.0,0.96,4.79,0.0,0.0,SN481233,2025-06-24 02:16:11
59904.27,54.35,87.61,34.07,17.63,63815.34,39.99,1.01,SN388295,2025-07-03 02:16:11
39817.77,49.08,160.11,17.21,10.82,1605.1,6.22,1.03,SN617280,2025-07-12 02:16:11
58147.61,64.88,134.72,21.72,15.31,28816.87,29.58,0.96,SN811766,2025-07-16 02:16:11
1729.78,26.88,0.0,0.98,0.97,1.03,1.04,0.0,SN927447,2025-06-25 02:16:11
13430.37,37.45,3.13,1.95,1.0,4.82,1.05,0.0,SN426031,2025-06-13 02:16:11
11818.64,30.27,0.0,2.0,0.97,7.85,0.0,0.0,SN169275,2025-07-17 02:16:11
28942.55,64.3,93.69,21.72,6.74,32336.97,36.65,0.96,SN460284,2025-06-20 02:16:11
15783.48,37.49,3.13,1.0,0.97,4.85,0.0,0.0,SN545791,2025-06-02 02:16:11
60233.77,66.28,168.71,13.15,15.2,62942.76,83.8,1.01,SN920787,2025-07-04 02:16:11
42131.55,55.27,25.62,43.51,16.49,69958.83,90.67,1.02,SN331655,2025-06-25 02:16:11
60591.41,68.89,146.23,20.82,5.16,15514.4,62.59,1.05,SN632906,2025-07-28 02:16:11
40689.0,50.74,13.4,15.52,18.08,21407.49,92.96,0.97,SN112034,2025-06-07 02:16:11
14773.27,34.03,0.0,1.02,0.96,0.0,0.0,0.0,SN989954,2025-07-09 02:16:11
2122.05,34.85,0.0,2.0,1.03,1.94,0.0,0.0,SN775683,2025-07-27 02:16:11
18583.2,39.33,0.0,0.0,1.03,0.0,0.0,0.0,SN559875,2025-07-10 02:16:11
17382.18,32.72,0.0,0.97,0.0,8.3,0.96,0.0,SN691990,2025-07-21 02:16:11
9578.64,25.43,2.99,1.05,0.0,2.93,0.0,0.0,SN371834,2025-07-18 02:16:11
26837.51,70.12,30.32,26.57,2.03,51476.28,23.08,1.02,SN653403,2025-06-01 02:16:11
12846.87,25.94,2.01,0.97,0.0,0.0,0.0,0.0,SN625354,2025-07-28 02:16:11
3079.77,39.24,0.0,0.95,1.0,5.94,0.0,0.0,SN598954,2025-06-27 02:16:11
32665.25,51.22,72.38,6.28,18.56,9770.35,11.16,1.02,SN302771,2025-07-16 02:16:11
24779.84,44.97,102.7,12.28,13.05,2919.21,17.93,0.95,SN411019,2025-06-04 02:16:11
14796.56,34.01,0.0,2.09,0.99,4.07,0.0,0.0,SN482566,2025-07-28 02:16:11
44958.11,46.61,160.05,12.1,18.89,62894.1,75.74,1.0,SN350476,2025-07-26 02:16:11
22012.14,52.92,155.57,43.67,5.05,17587.33,75.57,1.0,SN256367,2025-07-31 02:16:11
17799.78,28.8,1.96,0.0,1.0,1.02,1.0,0.0,SN103666,2025-06-25 02:16:11
17924.03,39.55,0.96,0.0,0.0,9.23,1.01,0.0,SN242627,2025-07-21 02:16:11
8367.31,30.84,0.0,2.07,0.0,3.88,0.0,0.0,SN383366,2025-07-09 02:16:11
49160.15,59.8,85.09,41.63,12.8,29567.68,21.68,0.96,SN232952,2025-07-24 02:16:11
14722.74,36.67,2.07,0.0,0.0,7.18,1.0,0.0,SN460196,2025-07-21 02:16:11
17178.63,26.34,4.06,1.02,0.97,2.04,1.02,0.0,SN180049,2025-07-18 02:16:11
30607.98,50.96,94.7,39.49,18.31,5841.01,4.87,1.04,SN664262,2025-06-04 02:16:11
3792.57,31.21,3.15,2.02,1.0,4.13,0.99,0.0,SN640213,2025-07-12 02:16:11
4243.07,29.14,0.96,1.03,0.0,7.16,0.0,0.0,SN704672,2025-07-16 02:16:11
57949.85,62.36,54.27,49.16,17.73,61543.57,22.89,1.04,SN573893,2025-07-24 02:16:11
19375.54,35.0,0.0,0.0,0.0,7.74,0.0,0.0,SN727033,2025-06-28 02:16:11
8736.67,25.1,4.08,0.0,0.0,8.65,1.01,0.0,SN987268,2025-07-01 02:16:11
12101.44,38.12,2.1,0.99,1.01,2.95,1.05,0.0,SN567170,2025-07-02 02:16:11
12622.8,26.4,2.09,0.0,0.0,8.56,1.04,0.0,SN580776,2025-07-07 02:16:11
40943.19,44.05,46.56,42.25,6.88,85395.64,96.42,1.03,SN972602,2025-06-23 02:16:11
8661.74,25.43,4.02,0.0,0.0,8.93,1.01,0.0,SN225961,2025-07-29 02:16:11
4374.59,31.92,3.08,1.97,0.0,9.37,0.97,0.0,SN205058,2025-06-01 02:16:11
37965.13,65.15,76.64,14.74,13.61,53708.05,75.36,1.03,SN322818,2025-07-10 02:16:11
6329.25,28.71,0.0,2.02,0.0,2.94,0.0,0.0,SN167095,2025-07-25 02:16:11
9248.61,26.83,0.0,1.02,0.0,0.98,0.0,0.0,SN609072,2025-06-19 02:16:11
18836.35,36.66,1.01,1.02,0.99,6.97,1.04,0.0,SN707916,2025-06-28 02:16:11
7229.96,37.41,2.08,0.0,0.0,0.0,0.99,0.0,SN964020,2025-06-02 02:16:11
16084.92,29.8,4.2,0.0,1.0,4.06,0.0,0.0,SN109180,2025-07-17 02:16:11
15201.0,35.31,1.04,1.04,0.0,2.94,0.0,0.0,SN424572,2025-07-24 02:16:11
24849.64,40.38,144.73,14.45,11.45,92997.0,31.67,1.0,SN407827,2025-06-27 02:16:11
